Policy Name,Policy Name Variant,Id,Date,Url,Full Text,Hashtags,Views Count,Favourite Count,Retweet Count,Reply Count,Language,Image Urls,Video Urls,User Mentions,User Profile Id,User Description,User Name,User Followers Count
Centrally Sponsored Scheme of Post-Matric Scholarship for OBC Students for studying in India,Centrally Sponsored Scheme of Post-Matric Scholarship for OBC Students for studying in India,1329708500562309121,Fri Nov 20 08:49:45 +0000 2020,https://twitter.com/ajayzener/status/1329708500562309121,"Sharing important dates and information regarding the Centrally Sponsored Scheme of Post-Matric Scholarship for OBC Students for Studying in India
Visit https://t.co/i6xtBDsRxc for more details.

#Scholarship #Education #Study #CareerConsultant #CareerCounselling #AjayZener https://t.co/k5G7wM879O","['Scholarship', 'Education', 'Study', 'CareerConsultant', 'CareerCounselling', 'AjayZener']",0,0,0,0,en,"['https://pbs.twimg.com/media/EnQSyhUVgAAkH9a.jpg', 'https://pbs.twimg.com/media/EnQSzvlUwAEjJua.jpg']",[],[],17813621,"CAT | GMAT | GRE Mentor, Career Counsellor & Study Abroad Consultant 
- 11 years of Mentoring
- 5000+ Students in Top Universities
- IIM Ahmedabad (1998-2000)",ajayzener,877
Centrally Sponsored Scheme of Post-Matric Scholarship for OBC Students for studying in India,Centrally Sponsored Scheme of Post-Matric Scholarship for OBC Students for studying,1329708500562309121,Fri Nov 20 08:49:45 +0000 2020,https://twitter.com/ajayzener/status/1329708500562309121,"Sharing important dates and information regarding the Centrally Sponsored Scheme of Post-Matric Scholarship for OBC Students for Studying in India
Visit https://t.co/i6xtBDsRxc for more details.

#Scholarship #Education #Study #CareerConsultant #CareerCounselling #AjayZener https://t.co/k5G7wM879O","['Scholarship', 'Education', 'Study', 'CareerConsultant', 'CareerCounselling', 'AjayZener']",0,0,0,0,en,"['https://pbs.twimg.com/media/EnQSyhUVgAAkH9a.jpg', 'https://pbs.twimg.com/media/EnQSzvlUwAEjJua.jpg']",[],[],17813621,"CAT | GMAT | GRE Mentor, Career Counsellor & Study Abroad Consultant 
- 11 years of Mentoring
- 5000+ Students in Top Universities
- IIM Ahmedabad (1998-2000)",ajayzener,877
Centrally Sponsored Scheme of Post-Matric Scholarship for OBC Students for studying in India,Centrally Sponsored Scheme of Post-Matric Scholarship for OBC Students for studying in,1329708500562309121,Fri Nov 20 08:49:45 +0000 2020,https://twitter.com/ajayzener/status/1329708500562309121,"Sharing important dates and information regarding the Centrally Sponsored Scheme of Post-Matric Scholarship for OBC Students for Studying in India
Visit https://t.co/i6xtBDsRxc for more details.

#Scholarship #Education #Study #CareerConsultant #CareerCounselling #AjayZener https://t.co/k5G7wM879O","['Scholarship', 'Education', 'Study', 'CareerConsultant', 'CareerCounselling', 'AjayZener']",0,0,0,0,en,"['https://pbs.twimg.com/media/EnQSyhUVgAAkH9a.jpg', 'https://pbs.twimg.com/media/EnQSzvlUwAEjJua.jpg']",[],[],17813621,"CAT | GMAT | GRE Mentor, Career Counsellor & Study Abroad Consultant 
- 11 years of Mentoring
- 5000+ Students in Top Universities
- IIM Ahmedabad (1998-2000)",ajayzener,877
National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha Placement Agency,National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha,1782477607117709689,Mon Apr 22 18:32:33 +0000 2024,https://twitter.com/UpAndAdamsShow/status/1782477607117709689,".@heykayadams really had @ClemsonFB CB Nate Wiggins make his bed before the interview 😅

@WigginNathaniel https://t.co/0CtywqHJdM",[],4096,17,2,4,en,[],['https://video.twimg.com/amplify_video/1782477572585947136/vid/avc1/480x270/uShgeLTxP2YJcAsS.mp4?tag=16'],"['heykayadams', 'ClemsonFB', 'WigginNathaniel']",1030134435721752578,"Hosted by @heykayadams 🎙️
Now streaming LIVE on YouTube! Subscribe here ➡️ https://t.co/d70yBmTIfv",UpAndAdamsShow,96221
National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha Placement Agency,National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha,1782475136840450285,Mon Apr 22 18:22:44 +0000 2024,https://twitter.com/UpAndAdamsShow/status/1782475136840450285,"The #Chargers are truly stuck between a trench and a hard place this upcoming draft... 🤔

@heykayadams https://t.co/JYm0FEpwf5",['Chargers'],3204,10,2,4,en,[],['https://video.twimg.com/amplify_video/1782475095589421056/vid/avc1/480x270/L_kra8u9tEZNyDlZ.mp4?tag=16'],['heykayadams'],1030134435721752578,"Hosted by @heykayadams 🎙️
Now streaming LIVE on YouTube! Subscribe here ➡️ https://t.co/d70yBmTIfv",UpAndAdamsShow,96221
National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha Placement Agency,National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha,1782472508794630371,Mon Apr 22 18:12:17 +0000 2024,https://twitter.com/UpAndAdamsShow/status/1782472508794630371,"Matt Ryan hinted at it last month on the show... but today is became official 😢

Congrats on a helluva career @M_Ryan02 🫡

@heykayadams 
https://t.co/Nh8McTjzWe",[],5683,18,3,4,en,[],['https://video.twimg.com/amplify_video/1767209950193807360/vid/avc1/480x270/gjoyXhqnrBb97X32.mp4?tag=18'],"['M_Ryan02', 'heykayadams']",1030134435721752578,"Hosted by @heykayadams 🎙️
Now streaming LIVE on YouTube! Subscribe here ➡️ https://t.co/d70yBmTIfv",UpAndAdamsShow,96221
National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha Placement Agency,National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha,1782471277955142088,Mon Apr 22 18:07:24 +0000 2024,https://twitter.com/UpAndAdamsShow/status/1782471277955142088,"RT @UpAndAdamsShow: 4x Pro-Bowl QB Matt Ryan is technically still at free agent... any chance of a comeback this upcoming season??? 

@M_Ry…",[],0,0,9,0,en,[],[],['UpAndAdamsShow'],1030134435721752578,"Hosted by @heykayadams 🎙️
Now streaming LIVE on YouTube! Subscribe here ➡️ https://t.co/d70yBmTIfv",UpAndAdamsShow,96221
National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha Placement Agency,National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha,1782450725483606165,Mon Apr 22 16:45:43 +0000 2024,https://twitter.com/UpAndAdamsShow/status/1782450725483606165,"Anyone with a big family knows why @BoNix10 did this interview from his car in his driveway 😅🔊

@heykayadams https://t.co/Tqg0xBvWpD",[],24182,45,5,1,en,[],['https://video.twimg.com/amplify_video/1782450680302592001/vid/avc1/480x270/jnNIIzR_1M_9s4jf.mp4?tag=16'],"['BoNix10', 'heykayadams']",1030134435721752578,"Hosted by @heykayadams 🎙️
Now streaming LIVE on YouTube! Subscribe here ➡️ https://t.co/d70yBmTIfv",UpAndAdamsShow,96221
National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha Placement Agency,National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha,1782439125666214262,Mon Apr 22 15:59:38 +0000 2024,https://twitter.com/UpAndAdamsShow/status/1782439125666214262,".@uscfb RB Marshawn Lloyd on what separates  Caleb Williams from the rest of the QB draft class
 
""I've seen Caleb do this his whole life... little league, played against him in middle school, with him in college. Everything he does is just special."" 

@m_lloyd_2 @heykayadams https://t.co/cvklshLOGk",[],23930,18,8,6,en,[],['https://video.twimg.com/amplify_video/1782439069613535232/vid/avc1/480x270/oKksVWz91cWA5gaV.mp4?tag=16'],"['uscfb', 'm_lloyd_2', 'heykayadams']",1030134435721752578,"Hosted by @heykayadams 🎙️
Now streaming LIVE on YouTube! Subscribe here ➡️ https://t.co/d70yBmTIfv",UpAndAdamsShow,96221
National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha Placement Agency,National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha,1782435671363236212,Mon Apr 22 15:45:54 +0000 2024,https://twitter.com/UpAndAdamsShow/status/1782435671363236212,".@uscfb RB Marshawn Lloyd attributes his resounding perseverance to his mother @LloydNashawn 🧡

""She went through everything... I give all of that to her.""

@m_lloyd_2 @heykayadams https://t.co/AWJjdGv1UD",[],4941,16,4,4,en,[],['https://video.twimg.com/amplify_video/1782435633220173824/vid/avc1/480x270/NGAMsATla5mqkJas.mp4?tag=16'],"['uscfb', 'LloydNashawn', 'm_lloyd_2', 'heykayadams']",1030134435721752578,"Hosted by @heykayadams 🎙️
Now streaming LIVE on YouTube! Subscribe here ➡️ https://t.co/d70yBmTIfv",UpAndAdamsShow,96221
National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha Placement Agency,National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha,1782434183039652274,Mon Apr 22 15:39:59 +0000 2024,https://twitter.com/UpAndAdamsShow/status/1782434183039652274,".@uscfb RB Marshawn Lloyd on his meeting with his favorite team growing up the #Eagles 🔊

@heykayadams  
@m_lloyd_2 https://t.co/Wdnjp4rhSv",['Eagles'],133550,45,8,3,en,[],['https://video.twimg.com/amplify_video/1782434124822691840/vid/avc1/480x270/CjF4OBzrpBDqWnIq.mp4?tag=16'],"['uscfb', 'heykayadams', 'm_lloyd_2']",1030134435721752578,"Hosted by @heykayadams 🎙️
Now streaming LIVE on YouTube! Subscribe here ➡️ https://t.co/d70yBmTIfv",UpAndAdamsShow,96221
National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha Placement Agency,National Awards For Empowerment Of Persons With Disabilities: National Awards For Institutions Engaged In Empowering Persons With Disabilities: Divyangjano Ke Liye Sarvshrestha,1782432581897605274,Mon Apr 22 15:33:38 +0000 2024,https://twitter.com/UpAndAdamsShow/status/1782432581897605274,".@uscfb RB Marshawn Lloyd really made the no. 1 play on #SCTop10 as a HIGH SCHOOLER 😲💯

@m_lloyd_2 @heykayadams https://t.co/CnwX99pNTw",['SCTop10'],7065,40,6,3,en,[],['https://video.twimg.com/amplify_video/1782432537521926144/vid/avc1/480x270/FlJHafMAcatWm3e8.mp4?tag=16'],"['uscfb', 'm_lloyd_2', 'heykayadams']",1030134435721752578,"Hosted by @heykayadams 🎙️
Now streaming LIVE on YouTube! Subscribe here ➡️ https://t.co/d70yBmTIfv",UpAndAdamsShow,96221
