Policy name,Ministry,State,Description,Benefits,Eligibility
National AIDS Control Organisation (NACO) Internship Programme,Ministry Of Health & Family Welfare,Central,"NACO initiated the Internship Programme in 2018 for young students who wish to engage with the Government. The internship programme envisages an opportunity for young students to get familiar with and understand the various dimensions of policy-making & implementation of the National AIDS Control Programme. It will serve as an exposure for the interns regarding the functioning of the Government of India. It will be mutually beneficial for the organization as well as students to have a structured internship programme under the aegis of NACO, Ministry of Health and Family Welfare. The internship programme would provide an excellent opportunity for budding scholars to familiarise themselves with the process of formulation of health policy and its implementation by the Government of India, with specific reference to the National HIV/AIDS and STD Control Programme.﻿The internship is offered on varied priority areas such as secondary data analysis of ICTC and PPTCT programme, MSM interventions, EID programme, primary research and data analysis on community perceptions of the HIV/AIDS Act, 2017 and Transgender Persons (Protection of Rights) Bill, 2018. The list of programmatic courses applicable for the internship at NACO is placed at Annexure II.﻿Number of InternsThe number of interns can vary depending on the applications and requirements of NACO. However, at any point in time, the number of interns shall not be more than 10.﻿EnrolmentEnrollment for internships shall be kept open throughout the year and offered based on the requirement of the different Programmes.﻿DurationThe internship would be for a minimum duration of 6 weeks and max. duration of 3 months, as per the prerequisites of the study programme.There shall be no bar for candidates to apply for a second internship with NACO. ﻿PlacementThe Interns will be placed in selected programme divisions within NACO or rotated through different divisions based on the prerequisites of the study programme.NOTE: The internship programme is neither a job nor any such assurance for a job in the National AIDS Control Organisation or any other Ministry/ Department in the Government of India.﻿ReportingInterns shall be expected to report to NACO, submit their joining report and work under close supervision of the concerned Head of Division (HOD). The areas available for internship at NACO are listed at Annexure III of the Scheme Guidelines.﻿Duties & ResponsibilitiesThe interns are expected to follow the standard schedule of activities, observe the functioning of the divisions, participate in activities, conduct data analysis & research, write reports, undertake field visits, and any other task assigned/entrusted to them by the HOD / Reporting Officer.","RemunerationInterns will be entitled to a stipend at the rate of ₹ 8,000 per month payable on successful completion of the Internship and submission and acceptance of their Internship reports by the Reporting Officer, and satisfactory performance certified by the HoD. NOTE: Students who discontinue the internship would not be paid any remuneration by NACO.﻿CertificateCertificates will be issued on satisfactory completion of their internships and on submission and acceptance of the Reports. NOTE: Students who discontinue the internship would not be awarded any certificate by NACO.﻿Boarding & LodgingNo other expenses like travel costs etc. will be admissible and no claims would be entertained.﻿Stay/AccommodationInterns coming from outside Delhi / New Delhi have to make their own arrangements for stay/ accommodation at their own expense.﻿Logistic SupportInterns will be provided with the necessary office logistics supports i.e. work space, stationery and facility for photocopying. NOTE: Interns will need to have their own laptop computers and internet connectivity.﻿","The scheme is open to students pursuing undergraduate, postgraduate, M.Phil and PhD courses in various disciplines e.g. Preventive & Social Medicine, Public Health, Health Management, Statistics, Social Sciences etc (the list is only illustrative and not exhaustive) pursuing graduation or post-graduation courses from a recognized and reputed University, who may apply for the internship programme. ﻿Reservation / Preference / PriorityPreference will be given to applicants having an excellent academic track record and to research scholars, and candidates bringing project work relevant to NACO’s activities or concomitant with NACP."
Quality Improvement Programme (QIP),Ministry of Education,Central,"The scheme ""Quality Improvement Programme"" was launched by the All India Council for Technical Education (AICTE) in the year 1970. One of its primary objectives is to enhance the expertise and capabilities of faculty members in degree and diploma-level institutions across the country. The program is overseen by the All India Council for Technical Education. In the ""Quality Improvement Programme,"" only sponsored teachers are eligible for admission to both Master's and Doctoral Degree Programs. The aim is to enable teachers to acquire Master's and Doctoral degrees and instil in them a culture of research and improved educational capabilities by exposing them to the environment of study institutions.﻿CategoryThe Scheme covers the following categories of applicants:Faculty Members of AICTE-approved Polytechnic Institutes (Diploma level) (with valid Faculty ID of AICTE) for pursuing M.E./M.Tech. programs.Faculty Members of AICTE approved Degree Level Engineering/Management Institutes (with valid Faculty ID of AICTE) for pursuing Ph.D. programs.","DurationMaster of Engineering (ME) or Master of Technology (M.Tech) Programs: 2 years, with no provision for an extension.Ph.D. Program: The duration is normally 3 years, and in exceptional cases, it can be extended by 1 year as a special case at the Quality Improvement Programme (QIP) center, but without a scholarship for the extended period.﻿ScholarshipFor Master of Engineering (ME) or Master of Technology (M.Tech) ProgramsScholarship: ₹9,000 per month.Annual Contingency: ₹5,000 per annum.﻿For Ph.D. ProgrammeScholarship: ₹15,000 per month.Annual Contingency: ₹15,000.Pre-Ph.D. Expenses: One-time lump sum amount.Travel Allowance (TA): ₹15,000.Daily Allowance (DA): ₹30,000 for a Pre-Ph.D. duration of 60 days (no TA & DA if the parent institute and admitting institute are the same). Full Pre-Ph.D. grant for offline work. For partial online and offline Pre-Ph.D. work, payment at the rate of ₹750 per day for the offline period, with no provision for Pre-Ph.D. payment for online work.﻿LeavesCasual leave: 15 days in an academic year.Medical leave: Maximum of one month (30 days) in an academic year.Maternity/Paternity leave: as per Govt. of India norms issued from time to time at full rates of scholarship, etc. once during the tenure of their award. However, the maximum duration of the scholarship will not be extended in any circumstances.NOTE: Prior approval of the QIP center is mandatory for all leaves.﻿Mode of PaymentThe Scholarship/ Annual Contingency/ Pre- PhD etc. will be released through the online QIP portal directly to the beneficiary’s Aadhar-linked account through DBT mode.","1. For Master's Degree Program:   - Full-time regular/permanent faculty members of AICTE-approved Polytechnic (Diploma) institutes having     1. One year of teaching experience at the polytechnic level.     2. A Bachelor's degree in the appropriate branch.     3. In addition to the above minimum eligibility, the criteria of the respective QIP center must be fulfilled.﻿2. For Ph.D. Program in Engineering/Management:   - Full-time regular/permanent faculty members of AICTE approved Degree Level institutes having     1. Three years of teaching experience at graduate-level institutes.     2. A Master's degree in the appropriate branch.     3. In addition to the above minimum eligibility, the criteria of the respective QIP center must be fulfilled.﻿NOTE: All the eligibility for applying for the programme will be counted as on the last date of submission of the application as notified in the advertisement."
Livestock Health and Diseases Control,"Ministry of Fisheries,Animal Husbandry and Dairying",Central,Objectives To implement Critical Animal disease control programme to eradicate PPR by 2030 by vaccinating all sheep and goats and to control Classical Swine Fever (CSF) by vaccinating the entire pig population To provide veterinary services at the farmers’ doorstep through Mobile Veterinary Units (MVUs) To assist States/UTs for Control of Animal Disease (ASCAD) by prevention & control of important livestock and poultry diseases prevalent in different States / UTs as per the State /UT’s priorities.﻿The LH&DC scheme covers a following activities:Prophylactic vaccination programmes against various livestock and poultry diseases.Disease surveillance and early detection.Control and eradication of livestock diseases.Capacity building of veterinary personnel.Strengthening of veterinary infrastructure.﻿Critical Animal Disease Control Programme Peste des Petits Ruminants Eradication Programme (PPR-EP).Classical Swine Fever Control Programme (CSF-CP).﻿Scheme Implementation Strategy State / UT to identify and designate suitable agency as SIA / LDB (preferably same as in NADCP).State / UT / SIA shall develop further guidelines for implementation of the Scheme delineating roles and responsibilities of all functionaries at different levels.,"Improved animal health and productivity: To protect livestock from diseases, which leads to improved animal health and productivity.Reduced economic losses: To reduce economic losses to farmers due to livestock diseases.Improved food security: To improve food security by ensuring a steady supply of livestock products.Increased employment opportunities: To increased employment opportunities in the livestock sector.Improved rural livelihood: To improve the livelihoods of rural people who depend on livestock for their income.",Beneficiary must be a bona fide farmer or livestock owner.Beneficiary must have a valid livestock ownership document.Beneficiary's livestock must be used for commercial purposes.
"Financial Assistance For Widows, Divorced, Separated / Destitute Deserted Or Abandoned Women",Delhi,Delhi,"Financial Assistance for the Marriage of Daughters of Poor Widows and orphan girls is the welfare scheme of Govt. of NCT of Delhi to provide financial assistance to poor widows for performing the marriage of their daughters (up to two daughters) and to provide financial assistance to guardians including Homes/Institutions or foster parents of an orphan girl or an orphan girl for her marriage.  The quantum of Assistance is one-time Rs. 30,000 (Rs. Thirty Thousand only per application) up to two daughters only. ﻿","The quantum of Assistance is one-time Rs. 30,000 (Rs. Thirty Thousand only per application) up to two daughters only. ","The financial assistance can be granted for performing marriage up to two daughters only. Residence of a minimum of 5 years in Delhi before the date of application. The income of the applicant should be less than Rs 1,00,000/-Per year from all sources (including rent, interest/dividends on savings & investments, earnings from the farm, property sale proceeds, etc.) of the applicant. Applicant should have an Aadhar number. The Applicant should have a single-operated Aadhaar-linked account with any bank in the National Capital Territory (NCT) of Delhi only.  The applicant should not be in receipt of any assistance from the discretionary fund of the Lt. Governor or the Chief Minister of Delhi for the same purpose. The girl whose marriage is to be solemnized should be major on the date of marriage i.e. above 18 years of age. The application must be submitted within a period of sixty days, before or after the date of marriage being solemnized. "
Ramalingaswami Re-Entry Fellowship,Ministry Of Science And Technology,Central,"The Department of Biotechnology has instituted a scheme known as the “Ramalingaswami Re-Entry Fellowship”. The scheme is aimed at Indian Nationals who are working overseas in various fields of biotechnology and life sciences and are interested in taking up scientific research positions in India. The Ramalingaswami Re-entry Fellows would be able to work in any of the scientific Institutions/Universities in the country. The applicant should have a proven/outstanding track record as evidenced by research publications and recognitions. The duration of the fellowship will be for a period of three years. Ramalingaswami Re-entry Fellows shall also be eligible for regular research grant through extramural and other research schemes of various S&T agencies of the Government of India.﻿The scheme has been conceptualized with the aim of attracting highly skilled researchers (Indian Nationals) working overseas in various cutting-edge disciplines of any area of Life Sciences & Biotechnology, Bio-engineering, Healthcare (human and animal), Agriculture and Veterinary biotechnology, Bio-energy and allied areas by providing them an attractive avenue to pursue their R&D interests in Indian universities/institutions.","The amount of the fellowship will be ₹ 1,00,000/- per month.HRA will be ₹ 18,500 per month.Each awardee will, in addition, receive a Research Support grant of ₹ 13,00,000 lakh/year for the purchase of consumables, minor equipment, domestic travel, engaging project staff and other contingent expenditures to be incurred in connection with the implementation of the project.₹ 50,000/annum institutional overhead will be paid to the host institute.Awardees will be eligible for regular research grant/s through extramural and other research schemes of various S&T agencies of the Government of India, provided that a Co-PI is a regular faculty member, and the concerned funding agency allows for this.The awardees can choose to work at any S&T institution including university departments or other academic institutions and national laboratories in India, provided the institution at which they wish to pursue research is willing to provide the necessary R&D, administrative, and basic infrastructural support to facilitate research.﻿DURATION AND NUMBER OF FELLOWSHIP The duration of the fellowship will be for a period of three years. In exceptional cases, the duration of the award may be extended by additional two years after a fresh appraisal of performance. During the extension period the fellow will be provided with Fellowship, Contingency/Research grant, HRA and Overhead. Upto 75 fellowships will be awarded every year. ","The Indian working in any area of life sciences & biotechnology, bio-engineering, healthcare (human and animal), agriculture and veterinary biotechnology, bio-energy, and allied areas will be eligible to apply.The applicant should possess a Ph.D/MD degree or equivalent in life sciences/ agriculture, bioinformatics, and allied areas or an M.Tech in engineering or technology/ medicine, etc. with at least three years of post-doctoral research experience in overseas research laboratories. Those who have already returned to India within one year of the closing date of the advertisement (two years for women candidates) are also eligible to apply; however, if they have secured a permanent position in India within this period then they are not eligible to apply.Applicants should have a proven/outstanding track record as evidenced by research publications and recognitions.In case a fellow joins a permanent position, the fellowship and HRA components of the scheme will be discontinued, however, he/she can avail the research grant component of the fellowship for the remaining tenure of the fellowship.The upper age limit for applying is 45 years.Once a candidate is selected for the fellowship, before the initiation of the fellowship, he/she would need to submit a two-member advisory committee comprising one member from his/her host institute and one from another institute in India or abroad from the area of his/her research. The advisory committee will mentor the research work of the fellow and suggest course correction, and their opinion/views regarding the progress of the fellow may also be sought by the committee, whenever required."
Financial Assistance For Development Of Buddhist/Tibetan Arts And Culture,Ministry Of Culture,Central,"The scheme “Financial Assistance for Development of Buddhist/Tibetan Arts and Culture” was launched by the Ministry of Culture, Government of India to provide financial assistance to voluntary Buddhist/Tibetan organizations including Monasteries engaged in the propagation and scientific development of Buddhist/Tibetan culture, tradition and research in related fields.The grant shall be given based on the appraisal of applications and recommendations by the Expert Advisory Committee and thereafter administrative approval and financial concurrence of competent authorities in the Ministry of Culture.The Joint Secretary In-Charge would be the competent authority for the release of funds up to ₹30.00 lakhs based on the recommendation of the Expert Advisory Committee and in consultation with IFD in each Case.The grants will be paid in two equal installments, the first being normally released with the approval of the project.The second installment will be released on receipt of a duly audited statement of accounts showing the utilization of the entire amount of the grant plus the share of the grantee/concerned State/U.T. Government and other documents on behalf of the Chartered Accountant.The release of the balance of the grant will be decided on the basis of the actual expenditure incurred on the project subject to the maximum limit.The grant for repairs, restoration, and renovation of Heritage Buildings associated with Buddhism is subject to a certificate from the Archaeological Survey of India. An officer of the appropriate level from the ASI office/Circle concerned will be associated with the organization for this activity. Applications against which a previous grant/Utilisation certificate is pending will not be considered.Mode of Payment:All payments will be made through electronic transfers.Special Provision:The Expert Advisory Committee (EAC) on the scheme is empowered to recommend or reject any proposal received without or with the recommendation of State Government/U.T. administration/ Local Administration and also to recommend the amount beyond the maximum limit but not exceeding ₹1.00 crore from this scheme. In respect of any proposal which is of outstanding merit for which the EAC feels that the maximum limit would not be sufficient for undertaking the said project, with the approval of the Minister (Culture) and concurrence of AS&FA, Ministry of Culture. However, in each such case, detailed justification would be given by EAC for exceeding the limit of ₹ 30.00 lakhs.Inspection & Monitoring:The inspection would be carried out by Ministry officials every year at least in 5% of the cases and also the services of autonomous institutions like Central University of Tibetan Studies, Sarnath, Nava Nalanda Mahavihara, Nalanda, Central Institute of Buddhist Studies, Leh, ZCCs would be utilized. The concerned State Government/UTs Administration, District Collector/Dy. Commissioner will also monitor.Penalties in case of misutilization of grant:The members of the executive body of the organization would be liable for the recovery of misused grants. The organization will also be blacklisted for misuse of funds, fake registration certificate, etc. All immovable assets created from the Government grants would be taken over by local administration prescribed by the Ministry.","Financial assistance is given for all or any of the items listed below up to a maximum of ₹30.00 lakhs per year for any single organization:Sl. No.ItemsMaximum amount per annum1Maintenance (Salary of staff, Off. Exp/Misc. exp)₹5,00,000/-2Research Project on the Promotion of Buddhist/Tibetan Art and Culture₹2,00,000/-3Purchase of books, documentation, and cataloging relating to Buddhism₹5,00,000/-4Award of scholarships to monk/nunnery students₹5,00,000/-5Holding special courses on the promotion of Buddhist/Tibetan Art and Culture₹2,00,000/-6Audio- Visual Recording/ Documentation/ Archiving of the traditional materials for the preservation and dissemination of Buddhist Art & Culture₹5,00,000/-7IT upgradation and IT-enabled Teaching/ Training aids for monastic/nunnery schools₹5,00,000/-8Transport facilities for monastic/nunnery schools and monasteries located in remote areas₹5,00,000/-9Salary of teachers where the organization is running a school imparting monastic/ nunnery education₹5,00,000/-10Repairs, restoration, and renovation of ancient monasteries and Heritage Buildings associated with Buddhism₹30,00,000/-11Construction/Repairs/Extension with toilet and drinking water for Class Rooms, School Buildings, Hostels, and Training Centres which are focused on Buddhist/ Tibetan Art and Culture as well as skill development of traditional crafts for monastic/nunnery school₹30,00,000/-Note 01: In case of the organizations of all-India character and running a school for imparting monastic education, financial assistance may be given beyond the ceiling, on the recommendation of the Expert Advisory Committee, and approved by the Minister (Culture) in consultation with the FA, Ministry of Culture.Note 02: The maximum grant admissible to an organization would be 75% of the total expenditure to be incurred on any item subject to the maximum ceiling fixed. The remaining 25% expenditure or more should be met by the State Govt./U.T. Administration failing which the grantee organization could contribute the amount from their resources. Note 03: In the case of North-Eastern States and Sikkim, funding will be shared between the Government of India and the State Government in the ratio of 90:10 respectively failing which the grantee organization could contribute from their own resources.","The voluntary Institutions/Organizations and Societies should be registered as a Society under the Societies Registration Act (XXI of 1860) or similar Acts.Only those organizations which are mainly devoted to Buddhist/Tibetan studies and have been functioning at least for the last three years will qualify for applying for a grant.The organization should be of the regional or all-India character.Grants from this scheme will be given only to those organizations which are not in receipt of grants from any other source for similar purposes.Financial assistance may also be given for the construction of hostel buildings, classrooms, school buildings, and training centers.Note 01: The grants will be ad-hoc and of a non-recurring nature.Note 02: Organizations that are doing good work in the field and have resources for meeting matching funds will be given preference."
Institutional Support for Development and Marketing of Tribal Products/Produce,Ministry Of Tribal Affairs,Central,"The scheme “Institutional Support for Development and Marketing of Tribal Products/Produce” was introduced in 2014-15 by the Ministry of Tribal Affairs, Government of India. The scheme is implemented by revising and merging existing two separate schemes - ""Market Development of Tribal Products/Produce"" and ""Grant-in-Aid to State Tribal Development Cooperative Corporation for Minor Forest Produce Operation"".The Scope:To give comprehensive support for people belonging to various tribes in the entire range of production, product development, reservation of traditional heritage, support to both forest and agricultural produce of tribal people, support to both forest and agriculture produce of tribal people, support to Institutions to carry the above activities, provision of better infrastructure, development of designs, dissemination of information about price and the agencies which are buying the products, support to Government agencies for sustainable marketing and thereby ensure a reasonable price regime.Sharing of information with Gram Panchayat and Gram SabhaSkill upgradation, development of utilitarian products for increase in value market.","Activities to be undertaken under the Scheme: Market Intervention: The various aspects of marketing intervention which will be supported under this scheme are:-fixation of equitable prices for existing products both manmade and natural;Actual procurement by State agencies as a safety net program and not monopoly/nationalization.Support during seasons of harvest when prices tend to get depressed;Sharing of information on prices so that people can make informed and conscious decisions and thereby markets become efficient;Selling of products by the State Agencies in urban areas and areas away from where they are produced to increase the demand for the products.Grading of products,Standardization,Source certification/Patent etc.Other promotional activities,Training and Skill upgradation:Training for improved production and higher-grade productsTraining related to manmade products to improve qualityDiversion to high-value productsDevelopment of improved quality and design.Linkage with other departments such as agriculture, horticulture, khadi and village industries, handlooms, and handicrafts, etc. for augmentation of training, skill upgradation, and technological support.R&D/IPR ActivityNew product development through new usageDevelopment of new products per seDevelopment of new cost-effective processes for product developmentExpansion of the market of the tribal products through R&D measuresThe IPR regime would be to document traditional knowledge and craft for seeking benefits of royalty and protection against piracyNew technologies of harvesting, scientific harvesting practices, etc. are other measures of R&DDocumentation and preservation of tangible and intangible heritage for promoting tourism etc.Supply Chain Infrastructure Development:Setting up of efficient warehousing facilities, godowns, cold storages, etc. wherever necessaryEstablishing processing industries for value addition.Sharing of information on inputs with the producers/gatherersDevelop product-specific efficient warehousing both at the IA level and also at the village levelTraining related to product-specific warehousing.Trade Information System:Capturing information about different tribal products related to the sources, types, potential, production, collection, etc.Collection and dissemination of trade information about various aspects of tribal products/web-enabled service SMS etc.In addition to the above, the following activities:Creating brands or brands for tribal produce/products,Developing product designs keeping in view the export market and support for exports.","Support under the scheme will be made available to:Tribal Cooperative Marketing Development Federation (TRIFED),State Tribal Development Cooperative Corporations,State Forest Development Corporations (SDCs),Minor Forest produce (Trading and Development) Federations (MFPTDFs),Other institutions identified for product design, development, export processing, training of tribal producers, patenting and trademark, research, GI certification, and activities ancillary to the above."
Innovation In Science Pursuit For Inspired Research (INSPIRE) - Internship,Ministry Of Science And Technology,Central,"INSPIRE INTERNSHIP aims to provide exposure to the top 1% of students at the Class X Board level by organizing Science Camps either during summer or winter which provides an opportunity for them to interact with Science icons from India and abroad, including Nobel Laureates, to experience the joys of scientific pursuit. These science camps nourish the curiosity of students in science, help them to think out-of-the-box, and attract students at an early age of 16-17 years to choose science subjects for further studies. Annually 50,000 students who are among the top one percent in their X Board Examination and pursuing science in standard XI would be benefited through summer/ winter camps. These camps would nourish the curiosity of children in science; help them to think out of the box and attract the students at an early age of 16-17 years (i.e. in XI standard) to pursue a research career.","Duration of the Summer/Winter Camp: 5 days (excluding the days of Journey)Nature of the Camp: Residential except in Metropolitan Cities﻿For the Interns:Each day the schedule of the Program should comprise at least two lectures cum discussion of one and a half hours in the morning hours followed by hands-on experience in the second half (i.e., 1400Hrs to 1730hrs). The coordinator should engage students in the thinking process on issues of national importance by way of organizing sessions for interns for writing on new and innovative ideas. The following are some of the key areas of priority: Second Green Revolution; Renewable and non Renewable energy; Clean energy; Natural resources utilization for sustainability; Make in India; Swachh Bharat & Ganga Rejuvenation; Energy conservation efficiency and sustainability; Harnessing Modern Technology for the second green revolution; Dairy and Livestock Sector; Solid & Liquid Waste Management; Recycling & processing of waste to conserve resources.The program Coordinator can organize a pre-dinner interactive session with the students on the first day and initiate discussions about the role of science and technology in the development of the nation. A session with the participating interns on writing new and innovative ideas on the above areas. The organizer shall evaluate these ideas by the external mentors present during the 4th or 5th day and select the best three write-ups in the raking of 1st 2nd 3rd ….. 10th. The interns whose write-ups will be selected for 1st-10th rank will be awarded during the valedictory function. Each visiting Nobel Laureate has to interact with the Interns.Pre-dinner Discussions of INSPIRE interns with Mentors may be arranged each day.Lab infrastructure in the area of Physics, Chemistry, Life Science, Earth Sciences Mathematical Sciences, etc., Auditorium with sound system, Guest House, Hostel accommodation for boys and girls.﻿For the Organizers/Mentors:For the INSPIRE Internship camp of 5 days (excluding the Journey days), ₹ 6500/- student (as an uppermost ceiling/student) will be provided to the coordinating Institute/Department/agency to meet the INSPIRE Internship camp cost. This cost includes travel costs (as per entitlement & actual), Boarding & Lodging, Stationary including Books & small experimental gadgets, etc., Consumables, Honorarium (to the Mentors, etc.), and organizational expenses for the Students and Indian Mentors invited for the respective INSPIRE Internship camps. Honorarium to the mentors should be paid a maximum of ₹ 3000 per contributing day, with an upper limit of ₹ 6000 per mentor if the mentor contributes for more than one day in the entire camp duration. For inviting a Noble Laureate to interact with the students in these Camps as an International Mentor, INSPIRE has also a provision of providing support with a maximum of ₹ 10,00,000 (all-inclusive) per Noble Laureate. Every year a maximum 50 no. of Noble Laureates can be invited to the INSPIRE Internship Camps.","For the InternsThe applicant should be a School Student.The applicant should be in the top one percent ranking in their 10th Board Examination.The applicant should be pursuing Science in Class 11th.The applicant should not have attended a similar camp earlier.The applicant should be within the same State or Union Territory.﻿Note: In case the number of top 1% students of a respective examination board is more than the allocated number of INSPIRE interns, for participation in such camps, of the respective state/UT, top rankers will be selected for INSPIRE Internship science camp provided they had applied for the same.﻿For the Science Camp OrganizersUniversity/College or Academic/Research institute should have the required infrastructure of related Science Laboratories for holding INSPIRE InternshipCamps.Availability of auditorium with well-equipped sound system and LCD projectors.Availability of Guest House, Hostel for Girls and Boys, with holding capacities.University, College, or academic/Research institute shall owe the administrative and financial responsibility for the organization of INSPIRE Internship Camp.﻿For the MentorsMentors for INSPIRE Internship would be various Academy Fellows, Bhatnagar Awardees, Scientists, and academicians of National and International repute."
National Action Plan for Skill Development of Persons with Disabilities,Ministry Of Social Justice and Empowerment,Central,"The National Action Plan for Skill Development of Persons with Disabilities (NAP-SDP) is a dedicated skill development program aimed at providing high-quality vocational training with a focus on Persons with Disabilities (PwDs). Launched in March 2015 by the Department of Empowerment of Persons with Disabilities, Ministry of Social Justice & Empowerment, this Central Sector Scheme operates as part of the Umbrella Scheme SIPDA (Scheme for Implementation of the Rights of Persons with Disabilities Act). The primary objectives of this scheme are:To enhance the skills of Persons with Disabilities by providing quality vocational skill training, enabling them to gain meaningful employment.To empower PwDs to become self-reliant, productive, and contributing members of society.","Vocational/skill training (both short-term and long-term) is provided through a network of skill training partners. These partners include the government, the public sector, training institutions such as VRCs, private training institutions, and non-governmental organizations.A cluster delivers partners' training nationwide, known for its successful track record in providing skill training with high employability rates.A dedicated cross-cutting Sector Skill Council for PwDs (SCPwD) has been established under the Ministry of Skill Development & Entrepreneurship (MSDE) in collaboration with the National Skill Development Corporation (NSDC) and the private sector.Additionally, mentorship projects to promote self-employment among PwDs are developed by DEPwD in collaboration with industrial confederations, sector-wise associations, domain experts, and other relevant organizations. These mentorship opportunities are tailored to address disability-specific needs.","For TraineesThe applicant should be a citizen of India.The applicant should have a disability of not less than 40%, as defined under the Rights of Persons with Disabilities Act, 2016, and any relevant legal statute.The applicant should be between 15 and 59 years of age at the commencement of the course.The applicant should not have undergone any other skill training course sponsored under the National Action Plan for Skill Development of PwDs of the Department during the one year preceding the last application date for the applied course.The applicant should enroll in courses approved by NCVET and adhere to age, qualification, and disability type specified in the QP file."
Education Loan Scheme,Ministry Of Social Justice and Empowerment,Central,"The objective of the ""Education Loan"" scheme by the National Backward Classes Finance And Development Corporation, Ministry of Social Justice & Empowerment, is to extend Education Loans to the students of Backward Classes for pursuing professional/technical education at the graduate and higher levels and for pursuing vocational Courses. All professional and technical courses at the graduate and higher levels are approved by the appropriate authority and vocational courses.﻿COURSES COVEREDAll professional and technical courses at the graduate and higher levels are approved by an appropriate authority and vocational courses.﻿MORATORIUM PERIODThe moratorium period for recoveries from these Channel Partners is hereby uniformly fixed as five years irrespective of the type and duration of the course for which loans are provided.﻿REPAYMENTThe maximum recovery period may be 10 years after the lapse of the moratorium period of 5 years i.e. the loan will require to be repaid to NBCFDC by the Channel Partner within 15 years of the same being disbursed.﻿PRE-PAYMENT OF LOANThe borrower can repay the loan any time after the commencement of repayment of the loan. No pre-closure charges shall be insisted from the beneficiary in case of early repayment of the loan.","Expenses Covered: Admission Fee & Tuition Fee; Books; Stationery & other instruments required for the course; examination fee; boarding & lodging expenses; insurance premium for policy during the loan period.Quantum of Finance:For Professional / Technical Courses only - 90% of the expenditure of the course is subject to a maximum loan limit of ₹15,00,000 per student (For study in India), the balance will be borne by the student/SCA.85% of the expenditure of the course subject to a maximum of ₹20,00,000 per student (For studying abroad), the balance will be borne by the student/SCA.For Vocational Courses - Need-based finance to meet 90% of admissible expenses for the course which may be as ascertained by the Channel Partners based on the prevailing government stipulations, market conditions, level of specialization of course, etc.  subject to the limit prescribed For Professional / Technical Courses as described above. RATE OF INTEREST﻿i)          For Boys                      :           4%    p.a.﻿ii)         For Girls                      :           3.5% p.a.","1. Members of Backward Classes, as notified by the Central Government/State Government from time to time.2. The annual family income of the applicant is fixed at ₹ 3,00,000. The Channel Partners (State Channelising Agencies/Banks) are requested to release at least 50% of total funding to persons with annual family income up to ₹ 1,50,000.3. The applicant should have obtained admission for any professional and technical courses approved by an appropriate agency such as AICTE, Medical Council of India, UGC, etc. in a duly accredited/recognized institute. Minimum 50% marks in qualifying exam i.e. the exam whose qualification is a pre-requisite for the course.4. Should have secured admission to professional/technical courses in India or abroad through an entrance test/merit-based selection process. ORThe trainees should have secured admission in a course of the duration of at least period of six months in India and or supported by a Ministry/Deptt./Organization of the Government or a Company/Society/Organization supported by the National Skill Development Corporation or State Skill Missions/State Skill Corporations, Sector Skill Council approved courses, preferably leading to a Certificate/ Diploma/Degree, etc. issued by a Government Organization or an organization recognized /authorized by the Government to do so including but not limited to Nursing, Pharma, Tourism & Catering, Teachers Training, etc."
