Policy Name Variant,Id,Date,Url,Full Text,Hashtags,Views Count,Favourite Count,Retweet Count,Reply Count,Language,Image Urls,Video Urls,User Mentions,User Profile Id,User Description,User Name,User Followers Count,sentiment_transformer
National AIDS Control Organisation Internship Programme,1759914357943910795,Tue Feb 20 12:14:15 +0000 2024,https://twitter.com/tnsfrbc/status/1759914357943910795,"Stipend INR.8000 | National AIDS Control Organisation NACO Internship Programme 2024 | 

https://t.co/rMq48zFFz3
#tnsfrbc #naco #internships #undergraduates  #phdscholar #postgraduates #internship2024  #indianscholars #tuitionfees #housing #meals #vidhyadhan #disabledscholarship","['tnsfrbc', 'naco', 'internships', 'undergraduates', 'phdscholar', 'postgraduates', 'internship2024', 'indianscholars', 'tuitionfees', 'housing', 'meals', 'vidhyadhan', 'disabledscholarship']",50,1,1,0,en,[],[],[],1346692616704774146,The Core demand of SFRBC,tnsfrbc,169,0
National AIDS Control Organisation,1781269484575338928,Fri Apr 19 10:31:54 +0000 2024,https://twitter.com/NACOINDIA/status/1781269484575338928,"People infected with HIV should take treatment (ART) for lifelong.

#KnowFacts #KnowHIV #IndiaFightsHIVandSTI #CorrectInformation #Awareness #campaign #Quiz

@MoHFW_INDIA https://t.co/VhIOUB1uKs","['KnowFacts', 'KnowHIV', 'IndiaFightsHIVandSTI', 'CorrectInformation', 'Awareness', 'campaign', 'Quiz']",91,4,1,0,en,[],['https://video.twimg.com/ext_tw_video/1781269436974178304/pu/vid/avc1/320x320/cvR8ioo_SaVEtuPP.mp4?tag=12'],['MoHFW_INDIA'],1035019353190621185,"This is official twitter account of National AIDS Control Organisation, Ministry of Health & Family Welfare, Government of India",NACOINDIA,7760,0
National AIDS Control Organisation,1780904732846075959,Thu Apr 18 10:22:30 +0000 2024,https://twitter.com/NACOINDIA/status/1780904732846075959,"मिथक नहीं, तथ्य फैलाएं।

HIV का संक्रमण साथ में उठने, बैठने या खाना खाने से नहीं फैलता।

#KnowFacts #KnowHIV #IndiaFightsHIVandSTI #CorrectInformation #Awareness #campaign

@MoHFW_INDIA https://t.co/N0p0MnUKow","['KnowFacts', 'KnowHIV', 'IndiaFightsHIVandSTI', 'CorrectInformation', 'Awareness', 'campaign']",162,6,2,0,hi,['https://pbs.twimg.com/media/GLcLZ1UaMAAAEPM.jpg'],[],['MoHFW_INDIA'],1035019353190621185,"This is official twitter account of National AIDS Control Organisation, Ministry of Health & Family Welfare, Government of India",NACOINDIA,7760,0
National AIDS Control Organisation,1780189621395292185,Tue Apr 16 11:00:54 +0000 2024,https://twitter.com/NACOINDIA/status/1780189621395292185,"Condoms offer three layers of protection:
1. Prevent unwanted pregnancy
2. Protects against HIV
3. Protects against STIs

#KnowFacts #KnowHIV #IndiaFightsHIVandSTI #Condom #CorrectInformation #Awareness #campaign

@MoHFW_INDIA https://t.co/nk2PGWhwo0","['KnowFacts', 'KnowHIV', 'IndiaFightsHIVandSTI', 'Condom', 'CorrectInformation', 'Awareness', 'campaign']",187,12,2,0,en,['https://pbs.twimg.com/media/GLSA574aAAAZ_6z.jpg'],[],['MoHFW_INDIA'],1035019353190621185,"This is official twitter account of National AIDS Control Organisation, Ministry of Health & Family Welfare, Government of India",NACOINDIA,7760,0
National AIDS Control Organisation,1779914215429685485,Mon Apr 15 16:46:32 +0000 2024,https://twitter.com/StigmabaseO/status/1779914215429685485,HIV Fighting Stigma} Red Ribbon Express: Mission on Wheels | MorungExpress: This unique HIV/ AIDS campaign is being implemented by the National Aids Control Organisation (NACO) in partnership with Rajiv Gandhi Foundation as a ... https://t.co/TMM1P6750y,[],8,0,0,0,en,[],[],[],138418838,North & South America — Australia & NZ — HIV Africa {Fighting stigma} - Canadian Non-Governmental & Nonprofit Initiative — Part of @stigmabase TEAM,StigmabaseO,4178,0
National AIDS Control Organisation,1779827100448686308,Mon Apr 15 11:00:22 +0000 2024,https://twitter.com/NACOINDIA/status/1779827100448686308,"HIV is a virus.

#KnowFacts #KnowHIV #IndiaFightsHIVandSTI #CorrectInformation #Awareness #campaign #Quiz

@MoHFW_INDIA https://t.co/klZu2xVYiU","['KnowFacts', 'KnowHIV', 'IndiaFightsHIVandSTI', 'CorrectInformation', 'Awareness', 'campaign', 'Quiz']",173,11,4,1,hu,[],['https://video.twimg.com/ext_tw_video/1779826979686289408/pu/vid/avc1/320x320/rC2ghl6sLoWXHBw3.mp4?tag=12'],['MoHFW_INDIA'],1035019353190621185,"This is official twitter account of National AIDS Control Organisation, Ministry of Health & Family Welfare, Government of India",NACOINDIA,7760,0
National AIDS Control Organisation,1779127939180941454,Sat Apr 13 12:42:09 +0000 2024,https://twitter.com/NACOINDIA/status/1779127939180941454,"Spread facts not myths!

HIV does not spread by sharing food, sitting together etc.

#KnowFacts #KnowHIV #IndiaFightsHIVandSTI #CorrectInformation #Awareness #campaign

@MoHFW_INDIA https://t.co/raP62vd4bn","['KnowFacts', 'KnowHIV', 'IndiaFightsHIVandSTI', 'CorrectInformation', 'Awareness', 'campaign']",144,10,4,0,en,['https://pbs.twimg.com/media/GLC7bobWsAAMvJY.jpg'],[],['MoHFW_INDIA'],1035019353190621185,"This is official twitter account of National AIDS Control Organisation, Ministry of Health & Family Welfare, Government of India",NACOINDIA,7760,0
National AIDS Control Organisation,1772915482099687507,Wed Mar 27 09:16:04 +0000 2024,https://twitter.com/SwastiHC/status/1772915482099687507,"National AIDS Control Organisation's (@naco_india) initiatives among many others in India are prime examples of the proactive approaches adopted by the Government of India to combat tuberculosis. . 🩺 #EarlyDetection #HealthcareAccess ✨
(2/5) https://t.co/TTJBXcGzCx","['EarlyDetection', 'HealthcareAccess']",15,0,0,1,en,['https://pbs.twimg.com/media/GJqpPArWkAEXlib.jpg'],[],[],2930591126,Solving complex public health challenges through social innovations,SwastiHC,1684,2
National AIDS Control Organisation,1771364996728938942,Sat Mar 23 02:35:00 +0000 2024,https://twitter.com/andamansacs/status/1771364996728938942,"🔒💪 NACO: National AIDS Control Organisation Take the pledge for a healthy, HIV-free life:
🚫 Avoid unprotected sex.

👫 Stick to one sexual partner.
🩺 Stay safe, stay informed! #ANACS #NACO #HIV #AIDS https://t.co/N1ccxPLlA6","['ANACS', 'NACO', 'HIV', 'AIDS']",547,0,0,0,en,['https://pbs.twimg.com/media/GJLw4PFXIAA8Hhm.jpg'],[],[],1288136942366814208,"A & N AIDS Control Society (ANACS) was registered under the Societies Registration Act 1860 on 30th Oct. 1998 as per the direction of MoHFW, GoI",andamansacs,483,0
National AIDS Control Organisation,1771363990171533538,Sat Mar 23 02:31:00 +0000 2024,https://twitter.com/andamansacs/status/1771363990171533538,"🔒💪 NACO: National AIDS Control Organisation Take the pledge for a healthy, HIV-free life:
🚫 Avoid unprotected sex.

👫 Stick to one sexual partner.
🩺 Stay safe, stay informed! #ANACS #NACO #HIV #AIDS https://t.co/OepoQOEOtC","['ANACS', 'NACO', 'HIV', 'AIDS']",523,0,0,0,en,['https://pbs.twimg.com/media/GJLxBxHXAAAu28T.jpg'],[],[],1288136942366814208,"A & N AIDS Control Society (ANACS) was registered under the Societies Registration Act 1860 on 30th Oct. 1998 as per the direction of MoHFW, GoI",andamansacs,483,0
