Id,Date,Url,Full Text,Hashtags,Views Count,Favourite Count,Retweet Count,Reply Count,Language,Image Urls,Video Urls,User Mentions,User Profile Id,User Description,User Name,User Followers Count,sentiment_vader,sentiment_bert,sentiment_transformer
1780971176338342386,Thu Apr 18 14:46:31 +0000 2024,https://twitter.com/iitgn/status/1780971176338342386,"Read more about the research here: https://t.co/NJniLK2R5i.
The research was supported by the DBT Ramalingaswami Re-entry Fellowship Grant and IITGN’s start-up grant. You can read more about Dr Gawande’s research here: https://t.co/h0AYKEA6jK
#IITGNPostdocTimes #IITGNPostdocs","['IITGNPostdocTimes', 'IITGNPostdocs']",175,2,1,0,en,[],[],[],234559391,The official Twitter account of Indian Institute of Technology Gandhinagar,iitgn,48051,2,0,2
1777245988111208617,Mon Apr 08 08:03:57 +0000 2024,https://twitter.com/DivyaKumar182/status/1777245988111208617,"As I complete my Ramalingaswami Re-entry Fellowship, the best way I could think of to celebrate this successful moment is to have Dr. Meenakshi Munshi visit our institute. A person, who was instrumental to the success of this fellowship. Kudos! to her team https://t.co/tnUsVIG4Ll",[],7303,100,1,4,en,['https://pbs.twimg.com/media/GKoLzW_WsAAWAy7.jpg'],[],[],1199925015631650816,Asst. Prof| PI: Liver Metabolism & Diseases Group| MASLD and HCC research| DBT- RLS Fellow 🇮🇳 |Alumna @VCUHealth 🇺🇸 | Women in STEM | Tweets personal,DivyaKumar182,3825,2,0,2
1760545579468255312,Thu Feb 22 06:02:30 +0000 2024,https://twitter.com/DBTIndia/status/1760545579468255312,"@DBTIndia Ramalingaswami Re-entry fellowship (RRF) is a prestigious and welcoming program for overseas Indians to pursue research in India. The awardees have been benefitted tremendously. A testimonial from our RRF fellow 
@IITHyderabad 
@DrJitendraSingh 
@rajesh_gokhale https://t.co/XEX2lfhu3V",[],2678,17,9,0,en,[],['https://video.twimg.com/ext_tw_video/1760545031130116096/pu/vid/avc1/480x270/p914k0RyaogG0yaQ.mp4?tag=12'],"['DBTIndia', 'IITHyderabad', 'DrJitendraSingh', 'rajesh_gokhale']",1243467265,"The Department of Biotechnology, Ministry of Sc & Tech, Govt of India supports research, its applications and education in the Life Sciences and Biotechnology.",DBTIndia,105122,2,0,2
1758927476070166544,Sat Feb 17 18:52:44 +0000 2024,https://twitter.com/Sci_ROI/status/1758927476070166544,"The last date for the submission of the prestigious DBT Ramalingaswami Re-entry Fellowship 2024 application has been extended to Feb 29, 2024. For more details, visit https://t.co/JAsGhi2TiB 🧵",[],788,2,3,1,en,[],[],[],787969920185298944,"Gateway for Indian researchers across the globe to access professional opportunities across academic/private sectors in India, U.S.based non-profit organization",Sci_ROI,2262,1,1,0
1758441740585914692,Fri Feb 16 10:42:35 +0000 2024,https://twitter.com/unescorcb/status/1758441740585914692,Kind Attention: The last date for submission of applications under the Ramalingaswami Re-entry Fellowship (RRF) 2023 Call is extended to 29th February 2024 (11:59 PM IST),[],3427,28,20,0,en,[],[],[],2509381254,"Regional Centre for Biotechnology
A UNESCO Category II Institute of: Education I Training I Research in Biotechnology",unescorcb,7258,2,1,0
1754452397252886715,Mon Feb 05 10:30:22 +0000 2024,https://twitter.com/IndiaBioscience/status/1754452397252886715,"@DBTIndia @_KarishmaK Details on the #Ramalingaswami Re-entry Fellowship, 2023 – 2024 can be found👇 
https://t.co/JNV4zATA3p  

The last date for applications is 15 February 2024.",['Ramalingaswami'],348,3,0,0,en,[],[],"['DBTIndia', '_KarishmaK']",2315152543,IndiaBioscience serves as a catalyst for facilitation and change in the life sciences ecosystem in India. Curated by @ankitarathore02.,IndiaBioscience,29123,1,1,0
1754452394803396982,Mon Feb 05 10:30:21 +0000 2024,https://twitter.com/IndiaBioscience/status/1754452394803396982,"This article highlights the several modifications The Ramalingaswami Re-entry Fellowship program has undergone, reflective of the need to align with the changing needs and challenges of life science research in 🇮🇳 @DBTIndia 

👉  https://t.co/OTbJCWz3vu 

✍️ @_KarishmaK https://t.co/d3Mghg0b9Z",[],3754,31,6,1,en,['https://pbs.twimg.com/media/GFkRJ0uWYAAvdzd.jpg'],[],"['DBTIndia', '_KarishmaK']",2315152543,IndiaBioscience serves as a catalyst for facilitation and change in the life sciences ecosystem in India. Curated by @ankitarathore02.,IndiaBioscience,29123,2,1,2
1753106838894366789,Thu Feb 01 17:23:36 +0000 2024,https://twitter.com/Sci_ROI/status/1753106838894366789,Last 2 days to register for an Interactive session with the coordinators of the prestigious DBT Ramalingaswami Re-entry Fellowship 2024. Tune-in for the updates on recent changes in fellowship application and get your questions answered. Register here: https://t.co/gvF5HSedVv,[],357,1,0,1,en,[],[],[],787969920185298944,"Gateway for Indian researchers across the globe to access professional opportunities across academic/private sectors in India, U.S.based non-profit organization",Sci_ROI,2262,1,0,0
1752678422575530402,Wed Jan 31 13:01:13 +0000 2024,https://twitter.com/IndiaBioscience/status/1752678422575530402,"@DBTIndia @scientistsen1 From revisions in the Ramalingaswami Re-entry #Fellowship guidelines to insights from previous fellows, we covered a wide range of topics in the webinar.

In case you missed the webinar, watch the recording on our YouTube channel 👇

https://t.co/KujvNVv3rL",['Fellowship'],420,6,1,0,en,[],[],"['DBTIndia', 'scientistsen1']",2315152543,IndiaBioscience serves as a catalyst for facilitation and change in the life sciences ecosystem in India. Curated by @ankitarathore02.,IndiaBioscience,29123,0,0,2
1752663491117473827,Wed Jan 31 12:01:53 +0000 2024,https://twitter.com/IndiaBioscience/status/1752663491117473827,"Ensure you research the host institutes thoroughly when applying for the Ramalingaswami Re-entry Fellowships, as advised by Sanjay Kumar Mishra @DBTIndia. Accompanied by Manoj Singh Rohilla, also from DBT. 

#Research #Fellowships https://t.co/GFLXh36tll","['Research', 'Fellowships']",305,2,0,1,en,['https://pbs.twimg.com/media/GFK0gXSaAAAQwph.jpg'],[],['DBTIndia'],2315152543,IndiaBioscience serves as a catalyst for facilitation and change in the life sciences ecosystem in India. Curated by @ankitarathore02.,IndiaBioscience,29123,2,1,2
1752656402055880958,Wed Jan 31 11:33:43 +0000 2024,https://twitter.com/IndiaBioscience/status/1752656402055880958,"We are starting the first meeting in this new 'virtual Town Hall' series by @IndiaBioscience🇮🇳

Registration is free &amp; open to all. 

If you're a #postdoc looking to return to #India on the #Ramalingaswami Re-entry Fellowships, join us 👇

https://t.co/XqQ5V2af5S https://t.co/BFuVfGnQUn","['postdoc', 'India', 'Ramalingaswami']",2109,8,0,1,en,['https://pbs.twimg.com/media/GFKtxOnbkAAdFQ3.jpg'],[],['IndiaBioscience'],2315152543,IndiaBioscience serves as a catalyst for facilitation and change in the life sciences ecosystem in India. Curated by @ankitarathore02.,IndiaBioscience,29123,2,0,0
1752307777328865578,Tue Jan 30 12:28:25 +0000 2024,https://twitter.com/_KarishmaK/status/1752307777328865578,"This is tomorrow and promises to be an engaging session! 

Thinking of returning to India on the Ramalingaswami re-entry fellowships? 
Join us with your questions! 
🇮🇳💻🧬",[],5224,32,3,0,en,[],[],[],2991006255,"Executive Director | @IndiaBioscience 🇮🇳

Physician | Scientist | Clinical Microbiologist | Hockey India | Sarees | Hindi Movies | Filter Coffee and Jalebi",_KarishmaK,23148,2,1,2
1752001394972733534,Mon Jan 29 16:10:57 +0000 2024,https://twitter.com/Sci_ROI/status/1752001394972733534,SciROI is pleased to organize an interactive webinar on the prestigious DBT Ramalingaswami Re-entry Fellowship 2024 to answer all your questions for the recent changes and updates in the fellowship application. Register here: https://t.co/gvF5HSdG5X https://t.co/uLOUqjnfJL,[],2629,18,6,1,en,['https://pbs.twimg.com/media/GFBb6FUXQAArGj5.jpg'],[],[],787969920185298944,"Gateway for Indian researchers across the globe to access professional opportunities across academic/private sectors in India, U.S.based non-profit organization",Sci_ROI,2262,2,0,2
